Date,Carbon,EuroStoxx,BrenOIL,CoalAPI,NatGas,EurSover,EurCorp,SpxIndex,ComExEng,Metals
5/2/2023,0.25148174,0.074560327,0.302398899,0.297376383,0.361216544,0.067580927,0.04126016,0.14154983,0.088412853,0.109052678
5/3/2023,0.267664619,0.074724104,0.327343193,0.297376383,0.342914052,0.064275157,0.039167552,0.146786622,0.087786272,0.108593354
5/4/2023,0.266712442,0.075040196,0.329756203,0.326171761,0.340748033,0.06506957,0.040221837,0.147642975,0.090110097,0.117584877
5/5/2023,0.268087248,0.083982374,0.367404639,0.333556865,0.362416036,0.067767042,0.041864954,0.16196752,0.093046001,0.129640833
5/8/2023,0.270386054,0.084512449,0.381784304,0.333556865,0.366241211,0.067996678,0.042070373,0.158554997,0.090601959,0.129754238
5/9/2023,0.277169702,0.083273772,0.38196069,0.333556865,0.360982367,0.060033801,0.037068629,0.157923855,0.090979578,0.134741482
5/10/2023,0.303622793,0.084510224,0.378940097,0.170898545,0.364918607,0.0599928,0.036379698,0.150731938,0.092480943,0.13556808
5/11/2023,0.302260784,0.08330369,0.377378641,0.374270443,0.364829294,0.061704901,0.037113029,0.148595848,0.099846526,0.138546815
5/12/2023,0.302357441,0.081866338,0.373079822,0.384231825,0.409187387,0.060684967,0.037145145,0.148642021,0.103952153,0.133044501
5/15/2023,0.306013683,0.082414762,0.378145557,0.384231825,0.407286191,0.059956479,0.037629253,0.144867386,0.096256778,0.133014224
5/16/2023,0.299734168,0.082426707,0.378239658,0.493160471,0.362822008,0.060818188,0.03860112,0.145241409,0.103746103,0.141810765
5/17/2023,0.299084261,0.082499985,0.394253098,0.493160471,0.330910543,0.05947829,0.038339189,0.153820339,0.102196571,0.141472571
5/18/2023,0.296229785,0.083791402,0.38643562,0.493160471,0.378590317,0.066344196,0.039838805,0.161841882,0.101262126,0.14098578
5/19/2023,0.283074308,0.08631793,0.385942538,0.495897492,0.390764993,0.066020668,0.039869557,0.16460074,0.092619836,0.134086223
5/22/2023,0.290861398,0.086318789,0.385368347,0.495897492,0.390308925,0.066167446,0.039904169,0.16327161,0.09198627,0.134368985
5/23/2023,0.299919179,0.087804675,0.386377804,0.495897492,0.38679908,0.060919591,0.036667342,0.161049045,0.09154512,0.133605959
5/24/2023,0.295132336,0.10521607,0.360882811,0.495897492,0.396333721,0.061076214,0.036639804,0.157496743,0.090185623,0.130709907
5/25/2023,0.30762466,0.105224674,0.369641364,0.590911354,0.449167916,0.058794572,0.035698483,0.143952821,0.090197505,0.131407314
5/26/2023,0.301995286,0.111813194,0.361182653,0.590911354,0.452030521,0.04993497,0.029081164,0.148174718,0.095483893,0.132401439
5/29/2023,0.299369521,0.111759529,0.360678375,0.590911354,0.445427166,0.057471597,0.032400549,0.147738177,0.094687106,0.131738013
5/30/2023,0.29034243,0.107729924,0.345150961,0.590911354,0.456967267,0.060623128,0.03489236,0.135247299,0.098256236,0.123708735
5/31/2023,0.262866107,0.112659067,0.305077057,0.590911354,0.545592378,0.064084975,0.037158171,0.125474341,0.105401421,0.133389411
6/1/2023,0.278777634,0.116096121,0.306790766,0.583390371,0.697424111,0.063531152,0.035975302,0.122944506,0.104197298,0.12198865
6/2/2023,0.278779219,0.122512635,0.295461189,0.575538978,0.698350559,0.06040275,0.034860486,0.125307678,0.104385654,0.113919591
6/5/2023,0.325320929,0.122629752,0.285917721,0.606161151,1.058611166,0.062238695,0.035847768,0.126551917,0.104437969,0.113244502
6/6/2023,0.319773847,0.123252213,0.283435249,0.6373296,1.132973085,0.06201901,0.035878296,0.126585402,0.107978946,0.107218105
6/7/2023,0.30902033,0.122734981,0.278709602,0.646347677,1.161756683,0.061693167,0.035741178,0.12936328,0.105709656,0.111477518
6/8/2023,0.30848663,0.122732106,0.284582528,0.615133357,1.168448762,0.059470866,0.034644063,0.130702042,0.097605961,0.106453205
6/9/2023,0.333497042,0.121715581,0.287802333,0.609357399,1.342456581,0.060841084,0.035161243,0.130578618,0.094348992,0.106214083
6/12/2023,0.330529551,0.121436457,0.318444349,0.609173249,1.345397669,0.060527419,0.034961379,0.132378404,0.093527066,0.108124638
6/13/2023,0.334631679,0.122510742,0.335806556,0.515270134,1.450057892,0.060274675,0.034055241,0.12879152,0.079118956,0.104430934
6/14/2023,0.358526964,0.12308115,0.323478737,0.550471182,1.460611441,0.06087375,0.033802131,0.125157966,0.078654869,0.104656003
6/15/2023,0.353534841,0.122352708,0.338306005,0.553145889,1.443601613,0.053874846,0.033626786,0.11345875,0.079601522,0.107103092
6/16/2023,0.356009046,0.121522739,0.340119775,0.549778469,1.560746044,0.056048538,0.033722882,0.110244139,0.091118192,0.103786144
6/19/2023,0.343825098,0.12658438,0.339945486,0.549778469,1.559055785,0.05855363,0.034100777,0.110444324,0.091384973,0.103671241
6/20/2023,0.338975915,0.126526398,0.334985588,0.549778469,1.590275861,0.063346579,0.036860635,0.106676346,0.09791147,0.116262943
6/21/2023,0.383066829,0.11007012,0.328574873,0.549690468,1.593683376,0.063616794,0.037175818,0.111754442,0.093214909,0.119115796
6/22/2023,0.369199932,0.110963477,0.34267996,0.393508687,1.584569621,0.064828598,0.038864928,0.105039455,0.100882841,0.121436688
6/23/2023,0.381552666,0.102584137,0.340312787,0.393508687,1.588153979,0.0686284,0.042138707,0.097387203,0.102406263,0.124432204
6/26/2023,0.389228691,0.102579873,0.340390638,0.393508687,1.590802636,0.064839994,0.040665758,0.100953105,0.103481752,0.126167177
6/27/2023,0.38361865,0.097806495,0.318671955,0.392401845,1.602312752,0.063276611,0.038935661,0.103305194,0.107969953,0.125618601
6/28/2023,0.388813726,0.093147407,0.335416008,0.392401845,1.597805751,0.060297661,0.037181923,0.103872483,0.108686783,0.113833839
6/29/2023,0.369454434,0.089186164,0.333890745,0.392401845,1.489574121,0.063094968,0.038316586,0.106319892,0.108044461,0.114033863
6/30/2023,0.370342815,0.081929439,0.316450756,0.379246897,1.492167624,0.062988832,0.037868341,0.087112699,0.107876599,0.11384213
7/3/2023,0.352692107,0.080363508,0.316038407,0.361070331,1.382005452,0.061036657,0.036769438,0.086308427,0.109037558,0.114024147
7/4/2023,0.349754151,0.079225393,0.328561216,0.333359462,1.287035433,0.061698495,0.036746938,0.085409977,0.104709552,0.110828204
7/5/2023,0.348795569,0.083118975,0.328540684,0.286067283,1.289791745,0.060361126,0.036194817,0.083438452,0.110120465,0.110876913
7/6/2023,0.348506603,0.116773463,0.319616791,0.244079393,1.313958192,0.069963626,0.04173373,0.090345726,0.111366263,0.110472673
7/7/2023,0.327555993,0.11708818,0.321006808,0.26794155,1.147776929,0.067872805,0.04103132,0.099943279,0.11321642,0.109387927
7/10/2023,0.324571078,0.11717955,0.287319568,0.301141388,1.192377197,0.067461593,0.040631022,0.094092167,0.113576191,0.108494391
7/11/2023,0.312553284,0.11867295,0.278865977,0.388974988,1.050003224,0.067217058,0.040513414,0.095990085,0.114835333,0.103293531
7/12/2023,0.276349017,0.131236664,0.267020707,0.330973695,1.049589663,0.071299492,0.044666362,0.09571915,0.11689711,0.108320824
7/13/2023,0.27653331,0.133400243,0.254156353,0.433858666,0.999729304,0.074289223,0.045658883,0.094415649,0.11760915,0.10521364
7/14/2023,0.276519263,0.131760438,0.263748043,0.433858666,0.877010632,0.072215993,0.045495858,0.094936451,0.103506935,0.10430112
7/17/2023,0.278193798,0.128699085,0.269793959,0.433858666,0.877273595,0.070271785,0.04505977,0.096379289,0.105210035,0.104750164
7/18/2023,0.255966517,0.12903712,0.275218819,0.433858666,0.829935147,0.072952117,0.046207432,0.100546781,0.111253074,0.101964005
7/19/2023,0.219488555,0.127787083,0.272689039,0.510646672,0.819248906,0.073719921,0.046061471,0.092772006,0.118661196,0.094656249
7/20/2023,0.225845957,0.126614871,0.237673033,0.566624559,0.799312752,0.073738935,0.045563932,0.09181806,0.117790413,0.085494003
7/21/2023,0.20696113,0.125690837,0.2432023,0.583036736,0.789190186,0.067893344,0.042020097,0.091442754,0.115226963,0.083226795
7/24/2023,0.193543229,0.125415381,0.253354864,0.629591074,0.843333496,0.067700276,0.04248201,0.089784913,0.128643299,0.082301348
7/25/2023,0.166623149,0.125914442,0.2206805,0.664270311,0.837022161,0.067071657,0.04146376,0.089500632,0.121815553,0.079395481
7/26/2023,0.165656032,0.126566811,0.213513923,0.664270311,0.908580685,0.067406172,0.042147891,0.09050916,0.121741184,0.079077939
7/27/2023,0.165670249,0.134060494,0.222528194,0.664270311,0.903724938,0.064795145,0.040664778,0.086911414,0.122855637,0.084642737
7/28/2023,0.18695548,0.129323656,0.222462698,0.768026881,0.914307723,0.064843491,0.040673977,0.085636712,0.123343957,0.085037918
7/31/2023,0.191235095,0.128824883,0.217027053,0.768026881,0.913486688,0.06466175,0.040522132,0.085992183,0.123151444,0.090744717
8/1/2023,0.201434949,0.133669489,0.209863946,0.76848124,0.897963537,0.065838078,0.041221262,0.085926148,0.124288243,0.106617666
8/2/2023,0.204583148,0.140269934,0.225359205,0.782695148,0.935104189,0.065919173,0.041260292,0.097156141,0.125796987,0.104939002
8/3/2023,0.213287172,0.112172148,0.233460925,0.766728287,0.948155038,0.055731646,0.034645365,0.091608967,0.123317633,0.098557532
8/4/2023,0.217538624,0.112335847,0.229929848,0.761887577,0.950139455,0.055754906,0.034707001,0.092638436,0.120618783,0.099653931
8/7/2023,0.220156624,0.11232809,0.226721649,0.78476122,0.927082217,0.055869354,0.034628367,0.101140493,0.120680334,0.100535895
8/8/2023,0.232670956,0.110696327,0.22201108,0.740536595,0.91738391,0.062272436,0.036791262,0.099878702,0.120206117,0.101131016
8/9/2023,0.230391563,0.098098821,0.222100609,0.740536595,1.261484408,0.059356194,0.033851564,0.105420016,0.118926357,0.099224943
8/10/2023,0.234492506,0.099706083,0.23431858,0.654705778,1.297896395,0.055854941,0.031037632,0.10607869,0.116280449,0.0993566
8/11/2023,0.247102179,0.107338437,0.215785131,0.654705778,1.307073636,0.058888758,0.033573468,0.105904672,0.115604173,0.101240465
8/14/2023,0.249694941,0.104952345,0.205161296,0.654705778,1.299774958,0.058949397,0.03373964,0.107829559,0.112564012,0.100598345
8/15/2023,0.248674939,0.107679216,0.21364118,0.654705778,1.342489902,0.048682969,0.029001764,0.111355314,0.109817813,0.086213875
8/16/2023,0.243074955,0.10702615,0.22252864,0.620533703,1.347876664,0.048985594,0.029359119,0.111344581,0.103477799,0.08437182
8/17/2023,0.237014288,0.109209867,0.222616058,0.584140632,1.353627294,0.048400855,0.028503168,0.113714023,0.098983261,0.08442769
8/18/2023,0.235194498,0.10905544,0.217633224,0.593877006,1.35496583,0.050797395,0.029676159,0.113712461,0.103269754,0.08499442
8/21/2023,0.235110163,0.109023282,0.20659241,0.549485692,1.379101516,0.051871113,0.030069556,0.110781904,0.078681209,0.088911083
8/22/2023,0.247981527,0.110821297,0.202263403,0.516779504,1.37041807,0.054898383,0.030683821,0.107966186,0.072131424,0.089424686
8/23/2023,0.252779823,0.111713227,0.202389204,0.537901741,1.395367394,0.063939006,0.0358343,0.114444755,0.086074888,0.109865685
8/24/2023,0.268054823,0.097401457,0.186909312,0.537901741,1.498818037,0.06391802,0.035588635,0.1187683,0.088415812,0.107013639
8/25/2023,0.253823534,0.097603318,0.193520969,0.381572072,1.468347391,0.064728982,0.036216302,0.1211588,0.088992024,0.106147597
8/28/2023,0.241943633,0.104617299,0.188489308,0.381572072,1.494881287,0.064720379,0.036081037,0.122222636,0.090231976,0.099786423
8/29/2023,0.236083947,0.108417294,0.189696136,0.381558489,1.52596443,0.064424428,0.036556485,0.127405079,0.090479534,0.088893559
8/30/2023,0.232228814,0.097502179,0.176385888,0.344836618,1.518552251,0.064500415,0.036486885,0.120056652,0.084826461,0.088422628
8/31/2023,0.227399392,0.095080766,0.182534862,0.355991194,1.57368185,0.06586785,0.038457991,0.121451455,0.08426816,0.086685631
9/1/2023,0.222836349,0.09446022,0.20032255,0.35579113,1.559380009,0.06840854,0.039005759,0.113000248,0.086534025,0.084994155
9/4/2023,0.223960867,0.094392272,0.196498389,0.279331475,1.552875113,0.069198945,0.039579534,0.106090345,0.086203077,0.082903685
9/5/2023,0.212688817,0.094381684,0.199330656,0.280035371,1.555201815,0.062182991,0.036383098,0.106082718,0.085640149,0.086912
9/6/2023,0.212187473,0.094757066,0.1967165,0.301476659,1.243588299,0.062851117,0.037009198,0.101918457,0.082331419,0.085490638
9/7/2023,0.209878618,0.089155145,0.186484326,0.303390294,1.242801744,0.063378841,0.037131661,0.10132626,0.083172185,0.084731686
9/8/2023,0.199047753,0.081953592,0.185579785,0.307475,1.25013716,0.06086491,0.035718769,0.100379493,0.085356991,0.084253104
9/11/2023,0.192430871,0.082840151,0.18486072,0.310808129,1.263093872,0.061607833,0.035576174,0.09764168,0.084508451,0.084388897
9/12/2023,0.192464029,0.076088205,0.178898102,0.315122395,1.177915901,0.060094964,0.034636539,0.089210073,0.076441505,0.083710429
9/13/2023,0.205466525,0.07691385,0.168604905,0.319673256,1.19437907,0.060060028,0.034836896,0.086700031,0.076038088,0.086057033
9/14/2023,0.20431667,0.087296932,0.186504948,0.319673256,1.196558087,0.061786206,0.0356722,0.097507401,0.085394732,0.087480294
9/15/2023,0.204480878,0.083141536,0.188008624,0.274968737,1.198780729,0.064473184,0.03526595,0.114372444,0.084789735,0.089695224
9/18/2023,0.210754892,0.094719165,0.183023277,0.273465566,1.131719552,0.062893041,0.033839268,0.114505407,0.086862163,0.088413143
9/19/2023,0.189168695,0.092219797,0.183449169,0.247587413,1.132071476,0.060822808,0.033649448,0.115017384,0.086471685,0.086050192
9/20/2023,0.200928977,0.0964517,0.186406971,0.200723353,1.04336903,0.05078803,0.027833733,0.122787669,0.073270441,0.064879288
9/21/2023,0.190872186,0.10702783,0.186362988,0.201990207,0.894205188,0.050844147,0.027960818,0.122245985,0.078156363,0.067356841
9/22/2023,0.199141718,0.107710873,0.186116672,0.208748608,0.864577636,0.050159326,0.027152977,0.117992118,0.07813718,0.068553059
9/25/2023,0.198951042,0.104895372,0.18373053,0.209336276,0.839264225,0.051518238,0.027264804,0.122566205,0.076950598,0.068732701
9/26/2023,0.218848061,0.09928792,0.183790833,0.209679643,0.830319688,0.048471223,0.026205686,0.125307757,0.075832378,0.067822337
9/27/2023,0.208780983,0.099298281,0.196949002,0.210170673,0.826050301,0.048611325,0.026395732,0.128163156,0.074014622,0.075536248
9/28/2023,0.209971656,0.100743487,0.204555967,0.194968413,0.70965014,0.050439891,0.028694632,0.125505832,0.07361973,0.081213951
9/29/2023,0.213088759,0.102196001,0.198209795,0.200153273,0.718935365,0.063895649,0.0387618,0.122475858,0.079009431,0.084579152
10/2/2023,0.211637599,0.107498843,0.204571233,0.202783978,0.738971362,0.064871997,0.038803912,0.127619171,0.080392018,0.088471634
10/3/2023,0.21604992,0.112797425,0.196913058,0.289712128,0.762005729,0.065555139,0.03900345,0.132189569,0.080954578,0.087079293
10/4/2023,0.237599355,0.111848319,0.297045095,0.282871831,0.707733209,0.065347898,0.038957438,0.132301316,0.087552742,0.090391716
10/5/2023,0.240657192,0.112916669,0.306339127,0.284852065,0.715122448,0.066132638,0.040100711,0.132547818,0.087520178,0.090740388
10/6/2023,0.233462148,0.117354138,0.304290466,0.282565403,0.715154592,0.065499785,0.039490622,0.136162521,0.087363808,0.099314701
10/9/2023,0.240734676,0.116250356,0.346733394,0.337659451,0.863894526,0.070754504,0.042724754,0.141722736,0.0910542,0.115002453
10/10/2023,0.272937718,0.137921033,0.342885135,0.349149704,0.941047471,0.071355336,0.042763804,0.141595776,0.097368464,0.115089071
10/11/2023,0.263134997,0.137611198,0.34864075,0.344205403,0.965340438,0.074325231,0.043282111,0.143129569,0.097229285,0.118724023
10/12/2023,0.266800682,0.125363694,0.331642376,0.373283512,1.063231394,0.072605744,0.041754953,0.127334727,0.093832368,0.115713721
10/13/2023,0.264538146,0.128757454,0.399743288,0.371280732,1.063032009,0.069505301,0.041739998,0.117674731,0.111461195,0.177875996
10/16/2023,0.280250048,0.123811766,0.404406793,0.385284717,1.111118777,0.069044467,0.04168146,0.120650272,0.111688243,0.180116547
10/17/2023,0.282767,0.123812014,0.404418565,0.385425113,1.106507653,0.071965486,0.043454488,0.121050259,0.111632311,0.180111469
10/18/2023,0.275787401,0.122816974,0.410105941,0.384222519,1.109708895,0.072035569,0.043405068,0.115047879,0.121284468,0.190669525
10/19/2023,0.268812725,0.121511382,0.409768145,0.39260672,1.109972239,0.072144486,0.043439354,0.121442162,0.117496923,0.189727569
10/20/2023,0.261099386,0.128740015,0.409692038,0.390182045,1.110109703,0.073296528,0.04413969,0.128175263,0.117017549,0.192658065
10/23/2023,0.262993525,0.127869467,0.425432567,0.411739985,1.073353006,0.072421676,0.044067397,0.123974918,0.124516721,0.198385797
10/24/2023,0.246257789,0.128760664,0.425135658,0.411605846,1.048757031,0.072884189,0.045650286,0.129607542,0.129009129,0.19722296
10/25/2023,0.246467276,0.128910101,0.421258557,0.411180803,1.04626773,0.073739694,0.045560421,0.134568004,0.129008893,0.19271578
10/26/2023,0.245359642,0.128141202,0.421519269,0.410683807,1.045261728,0.066440825,0.040405445,0.136075884,0.129089456,0.187529109
10/27/2023,0.242187326,0.128459901,0.427735775,0.408971537,1.037231114,0.056710655,0.033038225,0.138804924,0.119522776,0.18385482
10/30/2023,0.240990691,0.126463207,0.444070139,0.407272713,1.010686445,0.054263821,0.032510888,0.139612952,0.119968135,0.17763997
10/31/2023,0.236604133,0.12406353,0.444468063,0.345805575,1.055285001,0.051744565,0.032186537,0.141209557,0.118466229,0.179922579
11/1/2023,0.217028449,0.126830976,0.388407045,0.330572234,1.051893482,0.05233077,0.031077201,0.150704976,0.110736541,0.17361304
11/2/2023,0.212205928,0.138964245,0.383596112,0.324224092,1.025832459,0.052580445,0.031638608,0.15448352,0.112499141,0.174332379
11/3/2023,0.215893241,0.135937458,0.402334565,0.324417284,1.018099862,0.053447429,0.031546692,0.1520155,0.112728716,0.175297917
11/6/2023,0.218051181,0.135746984,0.36701618,0.272338735,0.915362396,0.052872801,0.030544255,0.147105069,0.110573841,0.172277535
11/7/2023,0.154549056,0.114370377,0.385233678,0.252517544,0.81321825,0.054604163,0.030715067,0.150239209,0.10437881,0.174262786
11/8/2023,0.159868825,0.114866837,0.390908179,0.251861432,0.780937445,0.052746121,0.030282997,0.149063108,0.104611918,0.176277608
11/9/2023,0.17598595,0.119468977,0.390582257,0.202883833,0.614807013,0.05047623,0.029692367,0.151390453,0.098189663,0.177325429
11/10/2023,0.186875368,0.119692691,0.325960931,0.202883833,0.612631065,0.052659288,0.030977424,0.165404156,0.08565981,0.128546423
11/13/2023,0.165899982,0.122745084,0.327943978,0.150789092,0.555763024,0.0519148,0.030171744,0.163703894,0.092890755,0.127372372
11/14/2023,0.176510951,0.132044941,0.330448593,0.149092318,0.553563082,0.05209131,0.03178544,0.163570307,0.099519161,0.127577579
11/15/2023,0.184258345,0.126175359,0.315464925,0.140899162,0.527753882,0.049379549,0.030084338,0.160028695,0.088463352,0.109350696
11/16/2023,0.21831704,0.120717833,0.341309791,0.12457689,0.532211722,0.050488881,0.028739173,0.150201825,0.089128542,0.11952625
11/17/2023,0.218541767,0.110659044,0.378367663,0.121501151,0.525666453,0.050851919,0.029211538,0.142230167,0.09225789,0.112426939
11/20/2023,0.216709332,0.109929311,0.375885598,4.71502E-08,0.528984202,0.051444859,0.030710139,0.136540064,0.083712164,0.108067498
11/21/2023,0.221680402,0.110398082,0.376196281,4.71502E-08,0.521266416,0.051777718,0.029756401,0.129058414,0.079406389,0.115875755
11/22/2023,0.220918454,0.110179202,0.361813931,4.71502E-08,0.524535456,0.048467821,0.029166256,0.117784265,0.080691006,0.114681099
11/23/2023,0.233782275,0.10680503,0.358439567,4.71502E-08,0.553263304,0.051554123,0.030765676,0.111889721,0.080318599,0.11291493
11/24/2023,0.233768576,0.098240093,0.346973379,4.71502E-08,0.553266432,0.052143679,0.031236151,0.105548679,0.085223641,0.113841743
